Edition	Country	MedalCount
1988	CHN	53
1992	CHN	83
1996	CHN	110
2000	CHN	79
2004	CHN	94
2008	CHN	184
1896	CIV	0
1900	CIV	0
1904	CIV	0
1908	CIV	0
1912	CIV	0
1920	CIV	0
1924	CIV	0
1928	CIV	0
1932	CIV	0
1936	CIV	0
1948	CIV	0
1952	CIV	0
1956	CIV	0
1960	CIV	0
1964	CIV	0
1968	CIV	0
1972	CIV	0
1976	CIV	0
1980	CIV	0
1984	CIV	1
1988	CIV	0
1992	CIV	0
1996	CIV	0
2000	CIV	0
2004	CIV	0
2008	CIV	0
1896	CMR	0
1900	CMR	0
1904	CMR	0
1908	CMR	0
1912	CMR	0
1920	CMR	0
1924	CMR	0
1928	CMR	0
1932	CMR	0
1936	CMR	0
1948	CMR	0
1952	CMR	0
1956	CMR	0
1960	CMR	0
1964	CMR	0
1968	CMR	1
1972	CMR	0
1976	CMR	0
1980	CMR	0
1984	CMR	1
1988	CMR	0
1992	CMR	0
1996	CMR	0
2000	CMR	18
2004	CMR	1
2008	CMR	1
1896	COL	0
1900	COL	0
1904	COL	0
1908	COL	0
1912	COL	0
1920	COL	0
1924	COL	0
1928	COL	0
1932	COL	0
1936	COL	0
1948	COL	0
1952	COL	0
1956	COL	0
1960	COL	0
1964	COL	0
1968	COL	0
1972	COL	3
1976	COL	0
1980	COL	0
1984	COL	1
1988	COL	1
1992	COL	1
1996	COL	0
2000	COL	1
2004	COL	2
2008	COL	2
1896	CRC	0
1900	CRC	0
1904	CRC	0
1908	CRC	0
1912	CRC	0
1920	CRC	0
1924	CRC	0
1928	CRC	0
1932	CRC	0
1936	CRC	0
1948	CRC	0
1952	CRC	0
1956	CRC	0
1960	CRC	0
1964	CRC	0
1968	CRC	0
1972	CRC	0
1976	CRC	0
1980	CRC	0
1984	CRC	0
1988	CRC	1
1992	CRC	0
1996	CRC	1
2000	CRC	2
2004	CRC	0
2008	CRC	0
1896	CRO	0
1900	CRO	0
1904	CRO	0
1908	CRO	0
1912	CRO	0
1920	CRO	0
1924	CRO	0
1928	CRO	0
1932	CRO	0
1936	CRO	0
1948	CRO	0
1952	CRO	0
1956	CRO	0
1960	CRO	0
1964	CRO	0
1968	CRO	0
1972	CRO	0
1976	CRO	0
1980	CRO	0
1984	CRO	0
1988	CRO	0
1992	CRO	15
1996	CRO	29
2000	CRO	10
2004	CRO	20
2008	CRO	5
1896	CUB	0
1900	CUB	2
1904	CUB	9
1908	CUB	0
1912	CUB	0
1920	CUB	0
1924	CUB	0
1928	CUB	0
1932	CUB	0
1936	CUB	0
1948	CUB	2
1952	CUB	0
1956	CUB	0
1960	CUB	0
1964	CUB	1
1968	CUB	10
1972	CUB	22
1976	CUB	24
1980	CUB	20
1984	CUB	0
1988	CUB	0
1992	CUB	71
1996	CUB	57
2000	CUB	69
2004	CUB	61
2008	CUB	47
1896	CZE	0
1900	CZE	0
1904	CZE	0
1908	CZE	0
1912	CZE	0
1920	CZE	0
1924	CZE	0
1928	CZE	0
1932	CZE	0
1936	CZE	0
1948	CZE	0
1952	CZE	0
1956	CZE	0
1960	CZE	0
1964	CZE	0
1968	CZE	0
1972	CZE	0
1976	CZE	0
1980	CZE	0
1984	CZE	0
1988	CZE	0
1992	CZE	0
1996	CZE	13
2000	CZE	9
2004	CZE	12
2008	CZE	7
1896	DEN	6
1900	DEN	6
1904	DEN	0
1908	DEN	15
1912	DEN	84
1920	DEN	75
1924	DEN	12
1928	DEN	13
1932	DEN	9
1936	DEN	6
1948	DEN	49
1952	DEN	9
1956	DEN	7
1960	DEN	23
1964	DEN	12
1968	DEN	16
1972	DEN	1
1976	DEN	8
1980	DEN	8
1984	DEN	15
1988	DEN	7
1992	DEN	14
1996	DEN	24
2000	DEN	25
2004	DEN	29
2008	DEN	18
1896	DJI	0
1900	DJI	0
1904	DJI	0
1908	DJI	0
1912	DJI	0
1920	DJI	0
1924	DJI	0
1928	DJI	0
1932	DJI	0
1936	DJI	0
1948	DJI	0
1952	DJI	0
1956	DJI	0
1960	DJI	0
1964	DJI	0
1968	DJI	0
1972	DJI	0
1976	DJI	0
1980	DJI	0
1984	DJI	0
1988	DJI	1
1992	DJI	0
1996	DJI	0
2000	DJI	0
2004	DJI	0
2008	DJI	0
1896	DOM	0
1900	DOM	0
1904	DOM	0
1908	DOM	0
1912	DOM	0
1920	DOM	0
1924	DOM	0
1928	DOM	0
1932	DOM	0
1936	DOM	0
1948	DOM	0
1952	DOM	0
1956	DOM	0
1960	DOM	0
